0,1,360,31.9
1,2,360,14.82,2.1524966
1,3,360,10.87,2.9346826
1,4,360,10.32,3.0910854
1,5,360,9.9,3.2222223
1,6,360,9.1,3.5054944
1,7,360,8.1,3.9382713
1,8,360,7.5,4.253333
0,1,480,46.49
1,2,480,24.46,1.9006543
1,3,480,16.69,2.7855003
1,4,480,14.29,3.253324
1,5,480,14.32,3.2465086
1,6,480,13.87,3.3518386
1,7,480,12.92,3.5982974
1,8,480,12.46,3.7311397
0,1,720,133.96
1,2,720,73.71,1.8173926
1,3,720,50.15,2.6711864
1,4,720,40.04,3.3456545
1,5,720,41.61,3.2194185
1,6,720,40.77,3.2857494
1,7,720,40.08,3.3423154
1,8,720,39.52,3.3896763
0,1,1080,302.1
1,2,1080,163.82,1.8440971
1,3,1080,113.54,2.6607363
1,4,1080,90.45,3.339967
1,5,1080,93.9,3.2172525
1,6,1080,92.92,3.251184
1,7,1080,91.47,3.3027222
1,8,1080,91.64,3.2965956
0,1,2160,1253.01
1,2,2160,698.25,1.7945006
1,3,2160,476.85,2.6276817
1,4,2160,377.2,3.3218715
1,5,2160,383.74,3.2652578
1,6,2160,388.82,3.2225966
1,7,2160,388.58,3.2245872
1,8,2160,389.35,3.2182097
0,1,4320,4772.99
1,2,4320,2563.37,1.8619981
1,3,4320,1787.09,2.670817
1,4,4320,1472.56,3.2412872
1,5,4320,1462.09,3.2644982
1,6,4320,1455.48,3.2793238
1,7,4320,1446.17,3.300435
1,8,4320,1441.83,3.3103697
0,1,8640,19475.97
1,2,8640,10539.21,1.8479536
1,3,8640,7459.84,2.610776
1,4,8640,6281.55,3.1005042
1,5,8640,6288.26,3.0971956
1,6,8640,6317.52,3.0828507
1,7,8640,6303.18,3.0898643
1,8,8640,6286.22,3.0982006
